target	protocol	seed	depth	trials	?	!	?+!	complete	merged	incomplete	generated	completed	equivalent	time_ms
D1_10	RESET	42	2	2412	148	0	148	8	9	0	17	true	true	3.289
D1_10	RESET	43	2	3636	154	0	154	8	9	0	17	true	true	4.290
D1_10	RESET	44	2	1377	140	0	140	8	9	0	17	true	true	1.899
D1_10	RESET	45	2	1886	137	0	137	8	9	0	17	true	true	3.498
D1_10	RESET	46	2	2778	146	0	146	8	9	0	17	true	true	3.463
D1_10	RESET	47	2	1714	119	0	119	8	9	0	17	true	true	2.498
D1_10	RESET	48	2	3167	203	0	203	8	9	0	17	true	true	3.713
D1_10	RESET	49	2	3862	177	0	177	8	9	0	17	true	true	4.591
D1_10	RESET	50	2	2554	135	0	135	8	9	0	17	true	true	3.030
D1_10	RESET	51	2	1903	139	0	139	8	9	0	17	true	true	2.583
D1_10	BACK	42	2	543	71	85	156	8	9	0	17	true	true	1.366
D1_10	BACK	43	2	346	71	67	138	8	9	0	17	true	true	1.002
D1_10	BACK	44	2	623	71	86	157	8	9	0	17	true	true	1.399
D1_10	BACK	45	2	457	71	77	148	8	9	0	17	true	true	1.108
D1_10	BACK	46	2	396	71	89	160	8	9	0	17	true	true	1.107
D1_10	BACK	47	2	652	71	81	152	8	9	0	17	true	true	1.425
D1_10	BACK	48	2	319	71	58	129	8	9	0	17	true	true	1.752
D1_10	BACK	49	2	469	71	57	128	8	9	0	17	true	true	1.438
D1_10	BACK	50	2	379	71	74	145	8	9	0	17	true	true	1.477
D1_10	BACK	51	2	748	71	75	146	8	9	0	17	true	true	2.005
D1_20	RESET	42	2	17159	288	0	288	14	15	0	29	true	true	27.795
D1_20	RESET	43	2	14030	240	0	240	14	15	0	29	true	true	29.735
D1_20	RESET	44	2	16778	250	0	250	14	15	0	29	true	true	35.625
D1_20	RESET	45	2	12279	239	0	239	14	15	0	29	true	true	24.237
D1_20	RESET	46	2	10175	231	0	231	14	15	0	29	true	true	22.074
D1_20	RESET	47	2	14336	248	0	248	14	15	0	29	true	true	29.314
D1_20	RESET	48	2	14617	247	0	247	14	15	0	29	true	true	29.156
D1_20	RESET	49	2	19778	259	0	259	14	15	0	29	true	true	39.745
D1_20	RESET	50	2	11232	233	0	233	14	15	0	29	true	true	82.853
D1_20	RESET	51	2	14634	250	0	250	14	15	0	29	true	true	27.826
D1_20	BACK	42	2	1009	119	138	257	14	15	0	29	true	true	3.209
D1_20	BACK	43	2	1733	119	106	225	14	15	0	29	true	true	3.848
D1_20	BACK	44	2	1789	119	111	230	14	15	0	29	true	true	4.385
D1_20	BACK	45	2	996	119	129	248	14	15	0	29	true	true	2.975
D1_20	BACK	46	2	764	119	144	263	14	15	0	29	true	true	3.542
D1_20	BACK	47	2	1206	119	108	227	14	15	0	29	true	true	3.529
D1_20	BACK	48	2	4306	119	107	226	14	15	0	29	true	true	9.315
D1_20	BACK	49	2	1666	119	110	229	14	15	0	29	true	true	4.182
D1_20	BACK	50	2	2477	119	121	240	14	15	0	29	true	true	4.607
D1_20	BACK	51	2	927	119	119	238	14	15	0	29	true	true	2.938
D1_40	RESET	42	3	55914	1432	0	1432	32	33	0	65	true	true	132.405
D1_40	RESET	43	3	104392	1393	0	1393	32	33	0	65	true	true	213.322
D1_40	RESET	44	3	83886	1390	0	1390	32	33	0	65	true	true	169.191
D1_40	RESET	45	3	53917	1309	0	1309	32	33	0	65	true	true	100.484
D1_40	RESET	46	3	76677	1330	0	1330	32	33	0	65	true	true	178.435
D1_40	RESET	47	3	62051	1465	0	1465	32	33	0	65	true	true	130.718
D1_40	RESET	48	3	93755	1523	0	1523	32	33	0	65	true	true	269.683
D1_40	RESET	49	3	65963	1296	0	1296	32	33	0	65	true	true	128.974
D1_40	RESET	50	3	84831	1556	0	1556	32	33	0	65	true	true	120.981
D1_40	RESET	51	3	78413	1485	0	1485	32	33	0	65	true	true	105.643
D1_40	BACK	42	3	5199	527	749	1276	32	33	0	65	true	true	10.022
D1_40	BACK	43	3	5722	527	718	1245	32	33	0	65	true	true	11.929
D1_40	BACK	44	3	3999	527	701	1228	32	33	0	65	true	true	9.836
D1_40	BACK	45	3	3804	527	706	1233	32	33	0	65	true	true	12.060
D1_40	BACK	46	3	4749	527	757	1284	32	33	0	65	true	true	10.872
D1_40	BACK	47	3	4472	527	724	1251	32	33	0	65	true	true	11.348
D1_40	BACK	48	3	4360	527	742	1269	32	33	0	65	true	true	12.011
D1_40	BACK	49	3	3785	527	702	1229	32	33	0	65	true	true	11.069
D1_40	BACK	50	3	3782	527	786	1313	32	33	0	65	true	true	14.860
D1_40	BACK	51	3	4569	527	707	1234	32	33	0	65	true	true	14.033
D1_80	RESET	42	3	108858	2787	0	2787	67	68	0	135	true	true	360.097
D1_80	RESET	43	3	159869	3100	0	3100	67	68	0	135	true	true	309.152
D1_80	RESET	44	3	119204	2894	0	2894	67	68	0	135	true	true	219.288
D1_80	RESET	45	3	123316	3062	0	3062	67	68	0	135	true	true	225.313
D1_80	RESET	46	3	100862	3003	0	3003	67	68	0	135	true	true	185.003
D1_80	RESET	47	3	108471	3014	0	3014	67	68	0	135	true	true	225.740
D1_80	RESET	48	3	149516	3102	0	3102	67	68	0	135	true	true	393.706
D1_80	RESET	49	3	141727	2925	0	2925	67	68	0	135	true	true	634.400
D1_80	RESET	50	3	148163	3050	0	3050	67	68	0	135	true	true	579.437
D1_80	RESET	51	3	137280	3161	0	3161	67	68	0	135	true	true	340.255
D1_80	BACK	42	3	7916	1087	1491	2578	67	68	0	135	true	true	21.245
D1_80	BACK	43	3	8096	1087	1505	2592	67	68	0	135	true	true	24.247
D1_80	BACK	44	3	7498	1087	1458	2545	67	68	0	135	true	true	22.000
D1_80	BACK	45	3	8530	1087	1563	2650	67	68	0	135	true	true	21.032
D1_80	BACK	46	3	7224	1087	1535	2622	67	68	0	135	true	true	19.367
D1_80	BACK	47	3	12353	1087	1464	2551	67	68	0	135	true	true	27.538
D1_80	BACK	48	3	8959	1087	1465	2552	67	68	0	135	true	true	21.745
D1_80	BACK	49	3	6987	1087	1509	2596	67	68	0	135	true	true	18.894
D1_80	BACK	50	3	9800	1087	1587	2674	67	68	0	135	true	true	24.645
